Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
MCX,mcx_fo,CRUDEOIL,246250,OPTFUT,CE,9150,CRUDEOIL22NOV9150CE,CRUDEOIL22NOV9150CE,CRUDEOIL 16NOV22 9150 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246251,OPTFUT,PE,9150,CRUDEOIL22NOV9150PE,CRUDEOIL22NOV9150PE,CRUDEOIL 16NOV22 9150 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246308,OPTFUT,CE,9200,CRUDEOIL22NOV9200CE,CRUDEOIL22NOV9200CE,CRUDEOIL 16NOV22 9200 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246309,OPTFUT,PE,9200,CRUDEOIL22NOV9200PE,CRUDEOIL22NOV9200PE,CRUDEOIL 16NOV22 9200 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246310,OPTFUT,CE,9250,CRUDEOIL22NOV9250CE,CRUDEOIL22NOV9250CE,CRUDEOIL 16NOV22 9250 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246311,OPTFUT,PE,9250,CRUDEOIL22NOV9250PE,CRUDEOIL22NOV9250PE,CRUDEOIL 16NOV22 9250 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246312,OPTFUT,CE,9300,CRUDEOIL22NOV9300CE,CRUDEOIL22NOV9300CE,CRUDEOIL 16NOV22 9300 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246313,OPTFUT,PE,9300,CRUDEOIL22NOV9300PE,CRUDEOIL22NOV9300PE,CRUDEOIL 16NOV22 9300 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246314,OPTFUT,CE,9350,CRUDEOIL22NOV9350CE,CRUDEOIL22NOV9350CE,CRUDEOIL 16NOV22 9350 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246315,OPTFUT,PE,9350,CRUDEOIL22NOV9350PE,CRUDEOIL22NOV9350PE,CRUDEOIL 16NOV22 9350 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246316,OPTFUT,CE,9400,CRUDEOIL22NOV9400CE,CRUDEOIL22NOV9400CE,CRUDEOIL 16NOV22 9400 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246317,OPTFUT,PE,9400,CRUDEOIL22NOV9400PE,CRUDEOIL22NOV9400PE,CRUDEOIL 16NOV22 9400 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246318,OPTFUT,CE,9450,CRUDEOIL22NOV9450CE,CRUDEOIL22NOV9450CE,CRUDEOIL 16NOV22 9450 CE,2022-11-16,100,0.1
